"species","island","flipper_length_mm","mass_kg","year"
"Adelie","Torgersen",181,3.75,2007
"Adelie","Torgersen",186,3.8,2007
"Adelie","Torgersen",195,3.25,2007
"Adelie","Torgersen",193,3.45,2007
"Adelie","Torgersen",190,3.65,2007
"Adelie","Torgersen",181,3.625,2007
"Adelie","Torgersen",195,4.675,2007
"Adelie","Torgersen",193,3.475,2007
"Adelie","Torgersen",190,4.25,2007
"Adelie","Torgersen",186,3.3,2007
"Adelie","Torgersen",180,3.7,2007
"Adelie","Torgersen",182,3.2,2007
"Adelie","Torgersen",191,3.8,2007
"Adelie","Torgersen",198,4.4,2007
"Adelie","Torgersen",185,3.7,2007
"Adelie","Torgersen",195,3.45,2007
"Adelie","Torgersen",197,4.5,2007
"Adelie","Torgersen",184,3.325,2007
"Adelie","Torgersen",194,4.2,2007
"Adelie","Biscoe",174,3.4,2007
"Adelie","Biscoe",180,3.6,2007
"Adelie","Biscoe",189,3.8,2007
"Adelie","Biscoe",185,3.95,2007
"Adelie","Biscoe",180,3.8,2007
"Adelie","Biscoe",187,3.8,2007
"Adelie","Biscoe",183,3.55,2007
"Adelie","Biscoe",187,3.2,2007
"Adelie","Biscoe",172,3.15,2007
"Adelie","Biscoe",180,3.95,2007
"Adelie","Dream",178,3.25,2007
"Adelie","Dream",178,3.9,2007
"Adelie","Dream",188,3.3,2007
"Adelie","Dream",184,3.9,2007
"Adelie","Dream",195,3.325,2007
"Adelie","Dream",196,4.15,2007
"Adelie","Dream",190,3.95,2007
"Adelie","Dream",180,3.55,2007
"Adelie","Dream",181,3.3,2007
"Adelie","Dream",184,4.65,2007
"Adelie","Dream",182,3.15,2007
"Adelie","Dream",195,3.9,2007
"Adelie","Dream",186,3.1,2007
"Adelie","Dream",196,4.4,2007
"Adelie","Dream",185,3,2007
"Adelie","Dream",190,4.6,2007
"Adelie","Dream",182,3.425,2007
"Adelie","Dream",179,2.975,2007
"Adelie","Dream",190,3.45,2007
"Adelie","Dream",191,4.15,2007
"Adelie","Biscoe",186,3.5,2008
"Adelie","Biscoe",188,4.3,2008
"Adelie","Biscoe",190,3.45,2008
"Adelie","Biscoe",200,4.05,2008
"Adelie","Biscoe",187,2.9,2008
"Adelie","Biscoe",191,3.7,2008
"Adelie","Biscoe",186,3.55,2008
"Adelie","Biscoe",193,3.8,2008
"Adelie","Biscoe",181,2.85,2008
"Adelie","Biscoe",194,3.75,2008
"Adelie","Biscoe",185,3.15,2008
"Adelie","Biscoe",195,4.4,2008
"Adelie","Biscoe",185,3.6,2008
"Adelie","Biscoe",192,4.05,2008
"Adelie","Biscoe",184,2.85,2008
"Adelie","Biscoe",192,3.95,2008
"Adelie","Biscoe",195,3.35,2008
"Adelie","Biscoe",188,4.1,2008
"Adelie","Torgersen",190,3.05,2008
"Adelie","Torgersen",198,4.45,2008
"Adelie","Torgersen",190,3.6,2008
"Adelie","Torgersen",190,3.9,2008
"Adelie","Torgersen",196,3.55,2008
"Adelie","Torgersen",197,4.15,2008
"Adelie","Torgersen",190,3.7,2008
"Adelie","Torgersen",195,4.25,2008
"Adelie","Torgersen",191,3.7,2008
"Adelie","Torgersen",184,3.9,2008
"Adelie","Torgersen",187,3.55,2008
"Adelie","Torgersen",195,4,2008
"Adelie","Torgersen",189,3.2,2008
"Adelie","Torgersen",196,4.7,2008
"Adelie","Torgersen",187,3.8,2008
"Adelie","Torgersen",193,4.2,2008
"Adelie","Dream",191,3.35,2008
"Adelie","Dream",194,3.55,2008
"Adelie","Dream",190,3.8,2008
"Adelie","Dream",189,3.5,2008
"Adelie","Dream",189,3.95,2008
"Adelie","Dream",190,3.6,2008
"Adelie","Dream",202,3.55,2008
"Adelie","Dream",205,4.3,2008
"Adelie","Dream",185,3.4,2008
"Adelie","Dream",186,4.45,2008
"Adelie","Dream",187,3.3,2008
"Adelie","Dream",208,4.3,2008
"Adelie","Dream",190,3.7,2008
"Adelie","Dream",196,4.35,2008
"Adelie","Dream",178,2.9,2008
"Adelie","Dream",192,4.1,2008
"Adelie","Biscoe",192,3.725,2009
