"species","island","flipper_length_mm","body_mass_g","mass_kg","year"
"Adelie","Torgersen",181,3750,3.75,2007
"Adelie","Torgersen",186,3800,3.8,2007
"Adelie","Torgersen",195,3250,3.25,2007
"Adelie","Torgersen",193,3450,3.45,2007
"Adelie","Torgersen",190,3650,3.65,2007
"Adelie","Torgersen",181,3625,3.625,2007
"Adelie","Torgersen",195,4675,4.675,2007
"Adelie","Torgersen",193,3475,3.475,2007
"Adelie","Torgersen",190,4250,4.25,2007
"Adelie","Torgersen",186,3300,3.3,2007
"Adelie","Torgersen",180,3700,3.7,2007
"Adelie","Torgersen",182,3200,3.2,2007
"Adelie","Torgersen",191,3800,3.8,2007
"Adelie","Torgersen",198,4400,4.4,2007
"Adelie","Torgersen",185,3700,3.7,2007
"Adelie","Torgersen",195,3450,3.45,2007
"Adelie","Torgersen",197,4500,4.5,2007
"Adelie","Torgersen",184,3325,3.325,2007
"Adelie","Torgersen",194,4200,4.2,2007
"Adelie","Biscoe",174,3400,3.4,2007
"Adelie","Biscoe",180,3600,3.6,2007
"Adelie","Biscoe",189,3800,3.8,2007
"Adelie","Biscoe",185,3950,3.95,2007
"Adelie","Biscoe",180,3800,3.8,2007
"Adelie","Biscoe",187,3800,3.8,2007
"Adelie","Biscoe",183,3550,3.55,2007
"Adelie","Biscoe",187,3200,3.2,2007
"Adelie","Biscoe",172,3150,3.15,2007
"Adelie","Biscoe",180,3950,3.95,2007
"Adelie","Dream",178,3250,3.25,2007
"Adelie","Dream",178,3900,3.9,2007
"Adelie","Dream",188,3300,3.3,2007
"Adelie","Dream",184,3900,3.9,2007
"Adelie","Dream",195,3325,3.325,2007
"Adelie","Dream",196,4150,4.15,2007
"Adelie","Dream",190,3950,3.95,2007
"Adelie","Dream",180,3550,3.55,2007
"Adelie","Dream",181,3300,3.3,2007
"Adelie","Dream",184,4650,4.65,2007
"Adelie","Dream",182,3150,3.15,2007
"Adelie","Dream",195,3900,3.9,2007
"Adelie","Dream",186,3100,3.1,2007
"Adelie","Dream",196,4400,4.4,2007
"Adelie","Dream",185,3000,3,2007
"Adelie","Dream",190,4600,4.6,2007
"Adelie","Dream",182,3425,3.425,2007
"Adelie","Dream",179,2975,2.975,2007
"Adelie","Dream",190,3450,3.45,2007
"Adelie","Dream",191,4150,4.15,2007
"Adelie","Biscoe",186,3500,3.5,2008
"Adelie","Biscoe",188,4300,4.3,2008
"Adelie","Biscoe",190,3450,3.45,2008
"Adelie","Biscoe",200,4050,4.05,2008
"Adelie","Biscoe",187,2900,2.9,2008
"Adelie","Biscoe",191,3700,3.7,2008
"Adelie","Biscoe",186,3550,3.55,2008
"Adelie","Biscoe",193,3800,3.8,2008
"Adelie","Biscoe",181,2850,2.85,2008
"Adelie","Biscoe",194,3750,3.75,2008
"Adelie","Biscoe",185,3150,3.15,2008
"Adelie","Biscoe",195,4400,4.4,2008
"Adelie","Biscoe",185,3600,3.6,2008
"Adelie","Biscoe",192,4050,4.05,2008
"Adelie","Biscoe",184,2850,2.85,2008
"Adelie","Biscoe",192,3950,3.95,2008
"Adelie","Biscoe",195,3350,3.35,2008
"Adelie","Biscoe",188,4100,4.1,2008
"Adelie","Torgersen",190,3050,3.05,2008
"Adelie","Torgersen",198,4450,4.45,2008
"Adelie","Torgersen",190,3600,3.6,2008
"Adelie","Torgersen",190,3900,3.9,2008
"Adelie","Torgersen",196,3550,3.55,2008
"Adelie","Torgersen",197,4150,4.15,2008
"Adelie","Torgersen",190,3700,3.7,2008
"Adelie","Torgersen",195,4250,4.25,2008
"Adelie","Torgersen",191,3700,3.7,2008
"Adelie","Torgersen",184,3900,3.9,2008
"Adelie","Torgersen",187,3550,3.55,2008
"Adelie","Torgersen",195,4000,4,2008
"Adelie","Torgersen",189,3200,3.2,2008
"Adelie","Torgersen",196,4700,4.7,2008
"Adelie","Torgersen",187,3800,3.8,2008
"Adelie","Torgersen",193,4200,4.2,2008
"Adelie","Dream",191,3350,3.35,2008
"Adelie","Dream",194,3550,3.55,2008
"Adelie","Dream",190,3800,3.8,2008
"Adelie","Dream",189,3500,3.5,2008
"Adelie","Dream",189,3950,3.95,2008
"Adelie","Dream",190,3600,3.6,2008
"Adelie","Dream",202,3550,3.55,2008
"Adelie","Dream",205,4300,4.3,2008
"Adelie","Dream",185,3400,3.4,2008
"Adelie","Dream",186,4450,4.45,2008
"Adelie","Dream",187,3300,3.3,2008
"Adelie","Dream",208,4300,4.3,2008
"Adelie","Dream",190,3700,3.7,2008
"Adelie","Dream",196,4350,4.35,2008
"Adelie","Dream",178,2900,2.9,2008
"Adelie","Dream",192,4100,4.1,2008
"Adelie","Biscoe",192,3725,3.725,2009
"Adelie","Biscoe",203,4725,4.725,2009
"Adelie","Biscoe",183,3075,3.075,2009
"Adelie","Biscoe",190,4250,4.25,2009
"Adelie","Biscoe",193,2925,2.925,2009
"Adelie","Biscoe",184,3550,3.55,2009
"Adelie","Biscoe",199,3750,3.75,2009
"Adelie","Biscoe",190,3900,3.9,2009
"Adelie","Biscoe",181,3175,3.175,2009
"Adelie","Biscoe",197,4775,4.775,2009
"Adelie","Biscoe",198,3825,3.825,2009
"Adelie","Biscoe",191,4600,4.6,2009
"Adelie","Biscoe",193,3200,3.2,2009
"Adelie","Biscoe",197,4275,4.275,2009
"Adelie","Biscoe",191,3900,3.9,2009
"Adelie","Biscoe",196,4075,4.075,2009
"Adelie","Torgersen",188,2900,2.9,2009
"Adelie","Torgersen",199,3775,3.775,2009
"Adelie","Torgersen",189,3350,3.35,2009
"Adelie","Torgersen",189,3325,3.325,2009
"Adelie","Torgersen",187,3150,3.15,2009
"Adelie","Torgersen",198,3500,3.5,2009
"Adelie","Torgersen",176,3450,3.45,2009
"Adelie","Torgersen",202,3875,3.875,2009
"Adelie","Torgersen",186,3050,3.05,2009
"Adelie","Torgersen",199,4000,4,2009
